LI,Class,FY,total_ship_estimate_$M,plan_costs_$M,basic_construction_$M,change_orders_$M,electronics_$M,ordnance_$M,hme_$M,other_cost_$M,gfe_elec_ord_$M,gfe_pct_of_total,bc_pct_of_total,bc_outsourced_low_$M,bc_outsourced_mid_$M,bc_outsourced_high_$M,ffata_visible_biw_$M,ffata_visible_ingalls_$M,ffata_visible_yards_$M,ffata_pct_of_bc_outsourced_mid,data_flag
2122,DDG-51,2016,5043.589,204.436,2472.801,127.571,502.100,1443.896,,73.033,1945.996,0.3858,0.4903,865.480,1038.576,1236.400,0.000,0.000,0.000,0.0000,HM&E missing (pre-FY24 extraction gap)
2122,DDG-51,2017,3856.854,81.454,2007.307,89.053,346.044,1111.357,,73.971,1457.401,0.3779,0.5205,702.557,843.069,1003.654,2.160,9.860,12.020,0.0143,HM&E missing (pre-FY24 extraction gap)
2122,DDG-51,2018,3644.571,72.811,1980.253,48.959,379.000,921.269,,75.846,1300.269,0.3568,0.5433,693.089,831.706,990.126,24.100,42.460,66.560,0.0800,HM&E missing (pre-FY24 extraction gap)
2122,DDG-51,2019,5767.938,74.195,3166.044,85.449,587.418,1546.010,,77.216,2133.428,0.3699,0.5489,1108.115,1329.738,1583.022,30.140,523.780,553.920,0.4166,HM&E missing (pre-FY24 extraction gap)
2122,DDG-51,2020,5659.734,75.713,2973.078,85.974,619.780,1594.555,,81.468,2214.335,0.3912,0.5253,1040.577,1248.693,1486.539,4.380,172.300,176.680,0.1415,HM&E missing (pre-FY24 extraction gap)
2122,DDG-51,2021,4205.640,77.117,2247.903,56.334,424.952,1157.796,,77.593,1582.748,0.3763,0.5345,786.766,944.119,1123.951,4.590,152.200,156.790,0.1661,HM&E missing (pre-FY24 extraction gap)
2122,DDG-51,2022,4072.882,86.682,1959.990,77.417,546.096,1161.682,,76.985,1707.778,0.4193,0.4812,685.996,823.196,979.995,23.460,138.650,162.110,0.1969,HM&E missing (pre-FY24 extraction gap)
2122,DDG-51,2023,7949.540,92.152,4558.163,136.767,949.051,1835.479,,82.196,2784.530,0.3503,0.5734,1595.357,1914.428,2279.081,45.330,255.550,300.880,0.1572,HM&E missing (pre-FY24 extraction gap)
2122,DDG-51,2024,5492.330,82.697,3322.458,91.552,619.811,1187.455,100.673,87.684,1807.266,0.3291,0.6049,1162.860,1395.432,1661.229,10.650,542.150,552.800,0.3961,
2122,DDG-51,2025,7858.814,83.596,4628.213,136.872,950.971,1816.641,154.029,88.492,2767.612,0.3522,0.5889,1619.875,1943.849,2314.106,33.430,650.740,684.170,0.3520,
2122,DDG-51,2026,306.125,,282.604,,23.521,,,,23.521,0.0768,0.9232,98.911,118.694,141.302,0.000,62.680,62.680,0.5281,base proc anomalously low (AP-funded?)
2122,DDG-51,2027,4256.914,87.927,2719.555,94.222,414.741,784.486,66.009,89.974,1199.227,0.2817,0.6389,951.844,1142.213,1359.777,,,,,
