LI,P-1 Line,Cost Category,FY Headers,v0,v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15
2122,13,Plan Costs,2016|2017|2018|2019|2020|2021|2022|2023,3,204.436,2,81.454,2,72.811,3,74.195,3,75.713,2,77.117,2,86.682,3,92.152
2122,13,Basic Construction/Conversion,2016|2017|2018|2019|2020|2021|2022|2023,"2,472.801","2,007.307","1,980.253","3,166.044","2,973.078","2,247.903","1,959.990","4,558.163",,,,,,,,
2122,13,Change Orders,2016|2017|2018|2019|2020|2021|2022|2023,127.571,89.053,48.959,85.449,85.974,56.334,77.417,136.767,,,,,,,,
2122,13,Electronics,2016|2017|2018|2019|2020|2021|2022|2023,502.100,346.044,379.000,587.418,619.780,424.952,546.096,949.051,,,,,,,,
2122,13,Ordnance,2016|2017|2018|2019|2020|2021|2022|2023,"1,443.896","1,111.357",921.269,"1,546.010","1,594.555","1,157.796","1,161.682","1,835.479",,,,,,,,
2122,13,Other Cost,2016|2017|2018|2019|2020|2021|2022|2023,73.033,73.971,75.846,77.216,81.468,77.593,76.985,82.196,,,,,,,,
2122,13,Total Ship Estimate,2016|2017|2018|2019|2020|2021|2022|2023,"5,043.589","3,856.854","3,644.571","5,767.938","5,659.734","4,205.640","4,072.882","7,949.540",,,,,,,,
2122,13,Plan Costs,2024|2025|2026|2027,2,82.697,3,83.596,0,-,1,87.927,,,,,,,,
2122,13,Basic Construction/Conversion,2024|2025|2026|2027,"3,322.458","4,628.213",282.604,"2,719.555",,,,,,,,,,,,
2122,13,Change Orders,2024|2025|2026|2027,91.552,136.872,-,94.222,,,,,,,,,,,,
2122,13,Electronics,2024|2025|2026|2027,619.811,950.971,23.521,414.741,,,,,,,,,,,,
2122,13,"Hull, Mechanical, and Electrical (HM&E)",2024|2025|2026|2027,100.673,154.029,-,66.009,,,,,,,,,,,,
2122,13,Ordnance,2024|2025|2026|2027,"1,187.455","1,816.641",-,784.486,,,,,,,,,,,,
2122,13,Other Cost,2024|2025|2026|2027,87.684,88.492,-,89.974,,,,,,,,,,,,
2122,13,Total Ship Estimate,2024|2025|2026|2027,"5,492.330","7,858.814",306.125,"4,256.914",,,,,,,,,,,,
