program,role,le_fy12,fy2013,fy2014,fy2015,fy2016,fy2017,fy2018,fy2019,fy2020,fy2021,fy2022,fy2023,fy2024,fy2025,fy2026,total,n_records
virginia,supplier,0.0,0.028,0.0,0.104,37.736,1094.201,466.746,401.264,188.528,382.186,207.683,897.003,423.136,244.686,0.3,4343.602,7725
virginia,mission_systems,0.0,0.0,0.0,0.0,0.41,11.387,212.664,178.228,5.058,27.217,15.165,13.274,30.185,14.289,0.0,507.875,255
virginia,prime,0.0,0.0,0.0,0.0,1.995,74.517,0.0,0.0,0.0,15.574,6.0,0.0,0.0,0.032,0.0,98.118,8
virginia,service,0.0,0.0,0.0,0.0,1.05,5.478,26.432,9.49,2.241,3.114,6.598,27.522,5.877,1.836,0.0,89.637,374
virginia,foreign_fms,0.0,0.0,0.0,0.0,1.181,7.336,44.72,2.854,0.417,2.794,4.164,0.5,2.852,1.033,0.0,67.849,41
virginia,holding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.425,1.455,0.0,1.458,0.753,0.0,0.0,0.0,7.092,23
virginia,gfe_sib,0.0,0.0,0.0,0.0,0.0,0.738,1.053,0.53,1.192,0.0,0.0,0.658,0.0,0.0,0.0,4.171,14
virginia,co_prime,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188,0.185,-0.025,0.0,0.348,25
columbia,supplier,0.0,0.0,0.0,0.0,51.115,82.783,224.883,372.046,94.286,112.276,214.404,1008.61,703.219,478.608,0.0,3342.228,5281
columbia,foreign_fms,0.0,0.0,0.0,0.0,64.74,10.096,25.818,165.938,6.15,12.619,38.888,15.114,82.373,16.128,0.0,437.864,127
columbia,gfe_sib,0.0,0.0,0.0,0.0,42.254,1.07,2.21,299.083,47.519,-24.711,0.368,23.363,0.641,0.0,0.0,391.796,65
columbia,service,0.0,0.0,0.0,0.0,0.164,14.747,2.658,6.722,0.837,24.288,29.632,44.623,30.67,0.29,0.0,154.632,283
columbia,mission_systems,0.0,0.0,0.0,0.0,5.582,4.826,6.26,28.579,5.573,19.533,9.6,15.856,20.178,0.743,0.0,116.729,146
columbia,holding,0.0,0.0,0.0,0.0,0.0,0.0,0.017,0.445,0.0,0.0,0.147,0.042,0.905,0.0,0.0,1.555,14
ddg,supplier,3.698,160.4,163.998,90.575,96.975,123.097,60.123,445.579,171.616,149.167,139.559,287.362,492.633,653.055,57.571,3095.408,5741
ddg,mission_systems,0.0,24.73,16.441,0.748,10.955,4.405,2.879,92.215,0.456,3.975,0.444,1.218,54.84,7.633,0.185,221.124,186
ddg,foreign_fms,0.0,35.064,35.76,30.542,29.588,30.257,0.188,11.593,0.647,2.221,1.055,0.193,0.0,5.131,0.0,182.239,123
ddg,service,0.0,0.0,3.388,6.983,5.98,4.908,3.323,3.883,3.66,1.441,9.543,10.076,5.281,17.473,7.836,83.774,295
ddg,holding,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.505,0.0,0.0,0.0,0.0,11.505,1
ddg,prime,0.0,1.861,1.872,0.0,0.0,2.235,0.0,0.0,0.0,0.0,0.0,0.877,0.0,0.0,0.0,6.845,14
ddg,gfe_sib,0.0,0.0,0.094,0.041,0.083,0.0,0.047,0.652,0.301,0.0,0.0,1.154,0.046,0.883,0.0,3.303,20
