program_refined,work_type_primary,n_actions,total_dollars_usd,pop_eb_pct_w,pop_hii_pct_w,pop_other_us_pct_w,pop_foreign_pct_w
non_sub,other,191,23077121554.0,0.06,0.01,74.42,0.0
va,lltm_early_mfg,7,18103982354.0,27.44,22.2,50.36,0.0
va_or_col,lead_yard,1,15383494792.0,25.0,6.0,69.0,0.0
non_sub,sustainment_maintenance,85,6083271628.98,0.0,1.51,23.59,0.0
non_sub,advance_procurement,1,5134324189.0,75.0,25.0,0.0,0.0
bpmi_nuclear,component_procurement,13,4813594004.0,0.0,0.0,80.15,0.0
non_sub,fms,64,4568862662.0,0.0,0.7,78.78,0.0
non_sub,lltm_early_mfg,7,3805639023.0,0.0,0.0,98.31,0.0
non_sub,lead_yard,38,3291478924.0,25.48,4.5,33.23,0.0
non_sub,construction,11,2816771768.0,0.0,0.35,85.0,0.0
non_sub,design,19,2644425432.0,0.0,0.0,83.59,0.0
sub_repair,repair_overhaul,5,2273312098.0,0.0,0.0,98.85,0.0
sub_other,other,41,1689843561.0,1.02,0.0,29.94,0.0
va,lead_yard,5,1441325369.0,80.8,7.03,0.88,0.0
va,repair_overhaul,3,1265026614.0,0.0,0.0,0.0,0.0
non_sub,repair_overhaul,18,1256210290.0,0.0,0.0,1.34,0.0
sub_gfe_electronics,component_procurement,10,1192491916.0,0.0,0.0,0.0,0.0
sub_other,sib_supplier_dev,1,950744520.0,0.0,0.0,0.0,0.0
non_sub,engineering,24,811717916.0,2.18,0.0,45.72,0.0
sub_operational,lead_yard,4,798775844.0,70.0,0.0,30.0,0.0
col,advance_procurement,1,698948760.0,85.0,15.0,0.0,0.0
va,sustainment_maintenance,1,697894932.0,0.0,0.0,0.0,0.0
sub_other,construction,6,672246221.0,0.0,0.0,3.01,0.0
sub_other,engineering,12,507751428.0,0.81,0.0,16.77,0.0
non_sub,component_procurement,11,428763770.0,0.0,0.0,48.25,0.0
va,component_procurement,7,338046089.0,0.0,0.0,0.0,0.0
va,other,12,299199308.0,1.02,32.99,6.85,0.0
sub_other,lead_yard,4,290044604.0,70.12,0.0,8.24,8.81
sub_other,sustainment_maintenance,6,279543252.0,0.41,37.23,3.72,0.0
va,construction,1,188000000.0,0.0,2.0,98.0,0.0
col,other,2,138086025.0,38.34,0.0,61.66,0.0
sub_other,design,4,120731402.0,46.75,0.0,1.95,0.0
sub_other,repair_overhaul,1,97064456.0,0.0,0.0,100.0,0.0
sub_other,component_procurement,3,95811832.0,0.0,0.0,0.0,0.0
sub_gfe_components,component_procurement,4,90520814.0,0.0,0.0,0.0,0.0
sub_other,facilities,1,87838740.0,0.0,0.0,0.0,0.0
col,fms,1,76832622.0,0.0,0.0,100.0,0.0
sub_other,fms,1,32546921.0,0.0,0.0,0.0,0.0
sub_other,lltm_early_mfg,1,29880000.0,0.0,0.0,0.0,0.0
sub_gfe_electronics,engineering,3,28279023.0,0.0,0.0,100.0,0.0
sub_repair,design,2,18226753.0,0.0,0.0,0.0,0.0
non_sub,facilities,1,11048000.0,0.0,0.0,0.0,0.0
va,design,1,10682315.0,0.0,0.0,0.0,0.0
